Contribution,Performance Metric,Layer,Expert
0.0005123894623894428,addition,0,0
0.0007509221715103428,subtraction,0,0
0.0012389918049581713,multiplication,0,0
0.0006666666666666571,english,0,0
-0.0007619047619046999,german,0,0
0.0033333333333332715,french,0,0
0.0019047619047619143,spanish,0,0
0.0039047619047618857,italian,0,0
0.007499999999999957,country_capital,0,0
0.02403352078982323,addition,0,1
0.03414099842734293,subtraction,0,1
0.011111845429702543,multiplication,0,1
0.07314285714285709,english,0,1
0.0296190476190476,german,0,1
0.07790476190476188,french,0,1
0.055333333333333255,spanish,0,1
0.08885714285714282,italian,0,1
0.10814285714285717,country_capital,0,1
0.005485862713383672,addition,0,2
0.001156488733799643,subtraction,0,2
0.005495883963531014,multiplication,0,2
0.0074285714285714,english,0,2
0.0169523809523809,german,0,2
-0.004952380952380929,french,0,2
0.004476190476190399,spanish,0,2
0.023047619047618966,italian,0,2
0.009428571428571344,country_capital,0,2
-0.0028475070370028,addition,0,3
0.0031300285382217428,subtraction,0,3
-0.0002223833589379714,multiplication,0,3
0.02409523809523807,english,0,3
0.017999999999999943,german,0,3
0.025809523809523786,french,0,3
0.0361904761904762,spanish,0,3
0.04857142857142854,italian,0,3
0.020214285714285646,country_capital,0,3
0.007518550528214357,addition,0,4
0.002103440101759371,subtraction,0,4
0.007470954838811915,multiplication,0,4
-0.003047619047619057,english,0,4
0.0007619047619047573,german,0,4
0.0044761904761904435,french,0,4
0.004190476190476143,spanish,0,4
0.0039047619047619425,italian,0,4
0.001,country_capital,0,4
-0.0018781016291520142,addition,0,5
-0.010448037793205816,subtraction,0,5
-0.00276235660542383,multiplication,0,5
-0.013428571428571415,english,0,5
-0.016095238095238013,german,0,5
-0.007809523809523743,french,0,5
-0.007619047619047585,spanish,0,5
0.007142857142857115,italian,0,5
-0.012285714285714285,country_capital,0,5
0.006735857544260857,addition,0,6
0.007223389791036872,subtraction,0,6
0.0006231292983393857,multiplication,0,6
-9.523809523804312e-05,english,0,6
0.002571428571428557,german,0,6
0.017428571428571356,french,0,6
-0.011047619047618985,spanish,0,6
0.0041904761904761716,italian,0,6
-0.005071428571428472,country_capital,0,6
0.0006028155862189143,addition,0,7
8.692983020709318e-05,subtraction,0,7
-0.0013525921790627712,multiplication,0,7
-0.0015238095238094284,english,0,7
0.006666666666666672,german,0,7
0.009714285714285658,french,0,7
0.008190476190476114,spanish,0,7
-0.002571428571428514,italian,0,7
0.012357142857142771,country_capital,0,7
0.0006679348429348286,addition,1,0
0.0029865427134334287,subtraction,1,0
0.0027981500992005004,multiplication,1,0
0.0016190476190475716,english,1,0
-0.0011428571428571427,german,1,0
0.008476190476190386,french,1,0
0.004476190476190428,spanish,1,0
0.006666666666666586,italian,1,0
0.005571428571428556,country_capital,1,0
0.0020541606930261714,addition,1,1
0.0007983700473196,subtraction,1,1
0.0009917018477942601,multiplication,1,1
0.004761904761904701,english,1,1
0.011999999999999943,german,1,1
0.008571428571428544,french,1,1
0.0119999999999999,spanish,1,1
0.004476190476190399,italian,1,1
0.004857142857142771,country_capital,1,1
0.011521869019558015,addition,1,2
0.012933205038036941,subtraction,1,2
0.0030652196154296965,multiplication,1,2
0.020285714285714216,english,1,2
-0.0077142857142857004,german,1,2
0.016857142857142828,french,1,2
0.019238095238095214,spanish,1,2
0.019238095238095186,italian,1,2
-0.007571428571428571,country_capital,1,2
0.188140003958071,addition,1,3
0.15978229109825737,subtraction,1,3
0.11773491970991964,multiplication,1,3
0.2702857142857143,english,1,3
0.21857142857142856,german,1,3
0.17999999999999985,french,1,3
0.16114285714285717,spanish,1,3
0.21666666666666673,italian,1,3
0.18350000000000005,country_capital,1,3
0.0043623163717701145,addition,1,4
0.004904426121652971,subtraction,1,4
0.002302798423176529,multiplication,1,4
0.010095238095238015,english,1,4
0.0029523809523809286,german,1,4
0.006571428571428515,french,1,4
0.015333333333333298,spanish,1,4
0.004190476190476143,italian,1,4
0.003142857142857143,country_capital,1,4
0.008383254335145028,addition,1,5
0.006094137756112514,subtraction,1,5
0.0045035017114848285,multiplication,1,5
-0.00019047619047619997,english,1,5
0.009428571428571357,german,1,5
0.004761904761904701,french,1,5
0.0032380952380952283,spanish,1,5
0.0053333333333333,italian,1,5
0.028642857142857144,country_capital,1,5
0.012674823387008202,addition,1,6
0.01405909167862943,subtraction,1,6
0.009069228755993416,multiplication,1,6
0.003619047619047543,english,1,6
-0.009809523809523771,german,1,6
0.0076190476190475575,french,1,6
0.000571428571428557,spanish,1,6
0.003047619047619057,italian,1,6
0.005428571428571428,country_capital,1,6
-0.007749734874524715,addition,1,7
-0.012134877688449073,subtraction,1,7
-0.0063126024069300995,multiplication,1,7
0.019047619047618983,english,1,7
0.006476190476190415,german,1,7
0.02838095238095237,french,1,7
4.956352788505163e-19,spanish,1,7
0.007809523809523744,italian,1,7
-0.001928571428571443,country_capital,1,7
0.000554271242296486,addition,2,0
0.0034200623295160717,subtraction,2,0
0.0002613193451428572,multiplication,2,0
-0.0040952380952381144,english,2,0
-0.005523809523809429,german,2,0
-0.007619047619047528,french,2,0
-0.004476190476190457,spanish,2,0
-0.0016190476190475428,italian,2,0
0.015571428571428557,country_capital,2,0
0.010716301882058143,addition,2,1
0.008267238838037072,subtraction,2,1
0.005671695546905615,multiplication,2,1
0.005238095238095228,english,2,1
0.005999999999999928,german,2,1
0.0019047619047618714,french,2,1
0.0033333333333332997,spanish,2,1
0.0007619047619047286,italian,2,1
0.004499999999999942,country_capital,2,1
0.007706609854508958,addition,2,2
0.007473257166114271,subtraction,2,2
0.003907259135200242,multiplication,2,2
0.003238095238095186,english,2,2
-0.0021904761904761715,german,2,2
0.0006666666666666571,french,2,2
-0.002476190476190443,spanish,2,2
0.008190476190476142,italian,2,2
0.006571428571428543,country_capital,2,2
-0.004784609407088372,addition,2,3
-0.009147927228389387,subtraction,2,3
-0.005256727904837115,multiplication,2,3
-0.010190476190476156,english,2,3
0.0005714285714285285,german,2,3
1.4125605447239714e-17,french,2,3
-0.007238095238095171,spanish,2,3
-0.007714285714285672,italian,2,3
-0.0037142857142857004,country_capital,2,3
0.007674719926820728,addition,2,4
0.006755909698766786,subtraction,2,4
0.006461799210748742,multiplication,2,4
0.004761904761904757,english,2,4
0.007619047619047544,german,2,4
0.002571428571428543,french,2,4
0.003999999999999943,spanish,2,4
0.011809523809523772,italian,2,4
0.00035714285714289997,country_capital,2,4
2.6673824152799947e-05,addition,2,5
0.0010585472028748998,subtraction,2,5
-0.0008956666738178858,multiplication,2,5
0.011523809523809514,english,2,5
0.0134285714285714,german,2,5
0.008571428571428515,french,2,5
-0.005904761904761843,spanish,2,5
0.026571428571428544,italian,2,5
0.0157142857142857,country_capital,2,5
0.0018227625315859856,addition,2,6
0.005699306560230871,subtraction,2,6
0.0022661157780905286,multiplication,2,6
0.005809523809523715,english,2,6
0.00019047619047618574,german,2,6
0.001047619047619043,french,2,6
-0.0007619047619047142,spanish,2,6
0.0032380952380952283,italian,2,6
0.01121428571428564,country_capital,2,6
0.00019577319661355708,addition,2,7
0.001292007751041343,subtraction,2,7
-0.0008550554642991001,multiplication,2,7
0.014285714285714216,english,2,7
-0.000571428571428557,german,2,7
0.0027619047619047003,french,2,7
-0.0039047619047618575,spanish,2,7
